job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,text
494,Admin Assistant/ Receptionist ,"US, CA, Los Angeles", ,23040-28800, ,"A Newly established company seeks outgoing, friendly people person with a can do attitude for a Admin Assistant/ Receptionist position yet to be occupiedJob duties include answering phones, setting appts and working with the owner to keep the office running smooth. Processing of tax returns, keeping database current and scanning of all tax documents.","Must have good knowledge of Outlook, Microsoft Word and Excel, and excellent overall computer skills. Any background with Quickbooks, Ultratax or working in a CPA office would be helpful. Must be extremely organized. Good sense of humor is key! ", ,0,0,0,Full-time,Entry level,High School or equivalent,Computer Software,Administrative,1,admin assistant receptionist newly established company seeks outgoing friendly people person attitude admin assistant receptionist position occupiedjob duties include answering phones setting appts working owner office running smooth processing tax returns keeping database current scanning tax documents good knowledge outlook microsoft word excel excellent overall computer skills background quickbooks ultratax working cpa office helpful extremely organized good sense humor key!
538,Technology Consultant - Outside Sales  ,"US, OH, ", , , ,"Apply below using link#URL_00962c0bdac3ecf40b2931cbb6493290c8712818f9b055eb964210d5ecab508a#SkyNet Managed Technology Services, a leading IT consulting firmbased in Columbus, Ohio, is seeking a dynamic sales professionalwho can hunt, identify opportunities, and sell technology solutionsand professional services. This is a consultative sales positiondealing directly with a variety of business contacts from C-Levelto Administrative. Experience in selling technology serviceswill give you the advantage.Responsibilities:Actively pursue new business opportunities through prospecting,cold calling, qualifying, scheduling appointments, andnetworkingMeet or exceed targeted monthly, quarterly, and annual salesactivity and sales revenue goalsMaintain the Customer Relationship Management (CRM) database ofclient and prospect informationManage activities, leads, opportunities, and salespipelineRequirements:Bachelor's degree or equivalent preferredMinimum 3 years consultative business-to-business salesexperienceDemonstrated success in prospecting, cold calling, qualifyingand overcoming objectionsFamiliarity with technology industryExceptional verbal, written, interpersonal, and presentationcommunication skillsCustomer focused attitude ensuring the highest level of supportto our customer baseProfessional appearance and conductAbility to quickly establish rapport with a variety of businessdecision makersAbility to understand and execute a professional salesmethodologyUnderstanding of Microsoft Office productsExperience with CRMHigh energy, self starterSkyNet Managed Technology Services was founded in 2002 toprovide technology support to small and medium sized businesses. Wecover a wide-range of solutions for businesses throughout thecountry. Everything from project consulting, internetsolutions, and a complete IT department. Our objective is toeradicate the hassles of IT from our client's lives and let themfocus on dominating in their industry.Excellent compensation plan includes base pay, commissions,performance incentives, training and benefits.To Apply:E-mail resume and cover letter with salary requirements to.", , ,0,0,0,Full-time, , ,Information Technology and Services, ,1,technology consultant outside sales apply link#url_cbdacecfbcbbcfbebdecaba#skynet managed technology services leading consulting firmbased columbus ohio seeking dynamic sales professionalwho hunt identify opportunities sell technology solutionsand professional services consultative sales positiondealing directly variety business contacts c levelto administrative experience selling technology serviceswill advantage responsibilities actively pursue new business opportunities prospecting cold calling qualifying scheduling appointments andnetworkingmeet exceed targeted monthly quarterly annual salesactivity sales revenue goalsmaintain customer relationship management crm database ofclient prospect informationmanage activities leads opportunities salespipelinerequirements bachelor's degree equivalent preferredminimum years consultative business business salesexperiencedemonstrated success prospecting cold calling qualifyingand overcoming objectionsfamiliarity technology industryexceptional verbal written interpersonal presentationcommunication skillscustomer focused attitude ensuring highest level supportto customer baseprofessional appearance conductability quickly establish rapport variety businessdecision makersability understand execute professional salesmethodologyunderstanding microsoft office productsexperience crmhigh energy self starterskynet managed technology services founded toprovide technology support small medium sized businesses wecover wide range solutions businesses thecountry project consulting internetsolutions complete department objective toeradicate hassles client's lives let themfocus dominating industry excellent compensation plan includes base pay commissions performance incentives training benefits apply e mail resume cover letter salary requirements
607,Director of Strategy,"US, CA, San Mateo",Engineering, ,"Bright Edge and Aptitude Staffing Solutions have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!BrightEdge today is over 180 employees strong, and continuously growing. BrightEdge has over 8400 brands and 650 direct customers, and has lead the market in SEO innovation. The new headquarters reflect BrightEdge's growth and the maturity of the company, with a sleek and modern space in the heart of Silicon Valley.Stay tuned, as BrightEdge's story is only beginning. ","Director of Strategy | San Mateo, CA Interested in a company that has doubled annually for the last three years? Benchmarking in the top percentile of SaaS companies that have ultimately gone public? Deeply capitalized?  Backed by investors such as Battery Ventures and Intel Capital? DescriptionThis role is responsible for building and leading the newly formed Corporate Strategy function.   It will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues.    It will be an extremely visible role in the company and work across the entire organization.   This role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff.    Due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested.    Responsibilities:Evaluation of industry trends to develop implications and recommend strategies;Development of strategic recommendationsEvaluation of new business opportunities;New market analysis and entry strategies;Creation of new initiatives drawing on an integrated offering across multiple business units;Evaluation of new technologies; ","Requirements:Previous experience at a top-tier management consulting firmQualitative and quantitative analytical/financial analysis abilities, good judgment, and excellent problem solving skills.Excellent project management and ability to prioritize among competing prioritiesA history successfully engaging internal and external stakeholders (at various levels and across functions) on transformational new ideas; adept at moving senior management to actionExcellent written and verbal communication skills, including the confidence and polish to routinely interact with an executive level audienceThe ideal candidate will have experience at a management consulting firm or internal corporate strategy developing profitable growth strategiesPrevious experience in Software not required, though helpfulFunctional experience in strategic planning, consulting, finance, venture capital, or software operationsBA required", ,0,1,1,Full-time, ,Bachelor's Degree,Information Technology and Services,Engineering,1,director strategy engineering bright edge aptitude staffing solutions partnered effort streamline hiring process provide efficient effective recruitng model focus help develop achieve career goals makeing solid geographical cultural professional fiit leveraging career new exciting professional venture!brightedge today employees strong continuously growing brightedge brands direct customers lead market seo innovation new headquarters reflect brightedge's growth maturity company sleek modern space heart silicon valley stay tuned brightedge's story beginning director strategy san mateo interested company doubled annually years? benchmarking percentile saas companies ultimately gone public? deeply capitalized? backed investors battery ventures intel capital? descriptionthis role responsible building leading newly formed corporate strategy function report senior executive responsible identifying answering host strategic questions including growth international expansion acquisitions functional issues extremely visible role company work entire organization role responsible recruiting additional talent function developing operational processes designing talent management career path staff rapid growth company role opportunity transition functional line management time interested responsibilities evaluation industry trends develop implications recommend strategies development strategic recommendationsevaluation new business opportunities new market analysis entry strategies creation new initiatives drawing integrated offering multiple business units evaluation new technologies requirements previous experience tier management consulting firmqualitative quantitative analytical financial analysis abilities good judgment excellent problem solving skills excellent project management ability prioritize competing prioritiesa history successfully engaging internal external stakeholders levels functions transformational new ideas adept moving senior management actionexcellent written verbal communication skills including confidence polish routinely interact executive level audiencethe ideal candidate experience management consulting firm internal corporate strategy developing profitable growth strategiesprevious experience software required helpfulfunctional experience strategic planning consulting finance venture capital software operationsba required
662,Director of Strategy,"US, CA, San Mateo",Engineering, ,"Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            ","Director of Strategy | San Mateo, CA Interested in a company that has doubled annually for the last three years? Benchmarking in the top percentile of SaaS companies that have ultimately gone public? Deeply capitalized?  Backed by investors such as Battery Ventures and Intel Capital? DescriptionThis role is responsible for building and leading the newly formed Corporate Strategy function.   It will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues.    It will be an extremely visible role in the company and work across the entire organization.   This role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff.    Due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested.    Responsibilities:Evaluation of industry trends to develop implications and recommend strategies;Development of strategic recommendationsEvaluation of new business opportunities;New market analysis and entry strategies;Creation of new initiatives drawing on an integrated offering across multiple business units;Evaluation of new technologies; ","Requirements:Previous experience at a top-tier management consulting firmQualitative and quantitative analytical/financial analysis abilities, good judgment, and excellent problem solving skills.Excellent project management and ability to prioritize among competing prioritiesA history successfully engaging internal and external stakeholders (at various levels and across functions) on transformational new ideas; adept at moving senior management to actionExcellent written and verbal communication skills, including the confidence and polish to routinely interact with an executive level audienceThe ideal candidate will have experience at a management consulting firm or internal corporate strategy developing profitable growth strategiesPrevious experience in Software not required, though helpfulFunctional experience in strategic planning, consulting, finance, venture capital, or software operationsBA required", ,0,1,1,Full-time, ,Bachelor's Degree,Information Technology and Services,Engineering,1,director strategy engineering aptitude staffing solutions redesigned recruiting wheel innovative new platform cuts recruiting time half yields scientifically proven results clients candidates enjoy pleasant experience advanced simple use technology tenured industry experienced recruiting team join fresh new experience leveraging career way be! represented candidates enjoy following perks expert negotiations maximizing total compensation package signing bonus aptitude staffing addition client signing bonus applicable year access anyperkrelocation services town candidatescontinued education area profession seminars workshops skill development events contract employees receive quarterly bonuses duration project direct hire employees receive double bonues $ referred recruited candidate newly appointed companyall candidates encouraged participate referral bonus program &amp earn $ $ hired referral director strategy san mateo interested company doubled annually years? benchmarking percentile saas companies ultimately gone public? deeply capitalized? backed investors battery ventures intel capital? descriptionthis role responsible building leading newly formed corporate strategy function report senior executive responsible identifying answering host strategic questions including growth international expansion acquisitions functional issues extremely visible role company work entire organization role responsible recruiting additional talent function developing operational processes designing talent management career path staff rapid growth company role opportunity transition functional line management time interested responsibilities evaluation industry trends develop implications recommend strategies development strategic recommendationsevaluation new business opportunities new market analysis entry strategies creation new initiatives drawing integrated offering multiple business units evaluation new technologies requirements previous experience tier management consulting firmqualitative quantitative analytical financial analysis abilities good judgment excellent problem solving skills excellent project management ability prioritize competing prioritiesa history successfully engaging internal external stakeholders levels functions transformational new ideas adept moving senior management actionexcellent written verbal communication skills including confidence polish routinely interact executive level audiencethe ideal candidate experience management consulting firm internal corporate strategy developing profitable growth strategiesprevious experience software required helpfulfunctional experience strategic planning consulting finance venture capital software operationsba required
1203,Big Data Engineer,"US, CA, San Francisco", , , ,"Position:  Big Data EngineerLocation: San Francisco, CADuration:  6+ months CTH Skills:BIHadoop-Java MapReduce-RDBMS-Job Description:Senior Business Intelligence engineer for Advanced Analytics overall theme. Guide and move forward an advanced system providing sophisticated and measurable business benefits.This person will work closely with our business analysts, as well as internal business users to understand their key business drivers and data needs, and scope out scalable and suitable solutions that will help our customers with their information needed for planning, analysis, and decision-making.","Responsibilities:Ability to analyze business needs and translate into approach options with pro’s cons of each approachDesign and implement next generation CRM applications in Hadoop that can handle high data volumesExecute analysis through tools in a Hadoop distributed environmentAssist with supporting, migrating and refactoring reports and existing BI solutions.Support a group of multi-disciplinary data professionals and analysts.Assist in defining development project plans, including scoping, scheduling, providing time estimates for programming tasks and implementation plans and schedules.Maintain a current awareness of technological developments and trends as it relates to development methodologies and tools, especially in the CRM-BI, Reporting and Hadoop spaceEnsure that the data infrastructure can scale to meet defined performance, load, and functional objectives.Manage execution of parallel projects of varying scope and duration.Document and share knowledge with the team. Knowledge, skills &amp; abilities8+ years of experience with software developmentStrong knowledge of software development practices.High proficiency in Java Development PracticesSolid Object Oriented Development Experience required.Design and architecture experience within Big Data space.Creating frameworks to sift through and process terabytes of data: create domain specific languages and natural language grammars to connect data science and end users to the company’s vast data store.Writing parallel algorithms against a petabyte Hadoop cluster to mine insight out of the company’s historical webstream and transaction activityWorking knowledge of RDBMS systems (Oracle, SQL Server, etc)General programming competency and experience in a Hadoop Big Data environmentStrong application engineering experience in designing Information/Analytics, highly scalable and available systemsPrior Hadoop and Java MapReduce Experience required.Familiarity with Distributed Computing Platforms.Strong conceptual and creative problem-solving skills; ability to work with considerable ambiguity; ability to learn new and complex concepts quicklyDemonstrated initiative and ability to work independentlyAbility to build strong, collaborative working relationships with broad cross section of business partnersStrong oral and written presentation skills Good to Have:Hands on BI development experience or involvement with BI related projectsPrevious experience working with Sales, Marketing, and Customer Relationship Management system data is a plusExperience with various business apps like campaign management, ERP.Experience in automotive marketing and/or CRM applications.Experience working with offshore teamsExperience with column oriented database solutions. Education:BS/MS degree in Computer Science or a related discipline ", ,0,0,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,1,big data engineer position big data engineerlocation san francisco caduration + months cth skills bihadoop java mapreduce rdbms job description senior business intelligence engineer advanced analytics overall theme guide forward advanced system providing sophisticated measurable business benefits person work closely business analysts internal business users understand key business drivers data needs scope scalable suitable solutions help customers information needed planning analysis decision making responsibilities ability analyze business needs translate approach options pro’s cons approachdesign implement generation crm applications hadoop handle high data volumesexecute analysis tools hadoop distributed environmentassist supporting migrating refactoring reports existing bi solutions support group multi disciplinary data professionals analysts assist defining development project plans including scoping scheduling providing time estimates programming tasks implementation plans schedules maintain current awareness technological developments trends relates development methodologies tools especially crm bi reporting hadoop spaceensure data infrastructure scale meet defined performance load functional objectives manage execution parallel projects varying scope duration document share knowledge team knowledge skills &amp abilities+ years experience software developmentstrong knowledge software development practices high proficiency java development practicessolid object oriented development experience required design architecture experience big data space creating frameworks sift process terabytes data create domain specific languages natural language grammars connect data science end users company’s vast data store writing parallel algorithms petabyte hadoop cluster insight company’s historical webstream transaction activityworking knowledge rdbms systems oracle sql server etc general programming competency experience hadoop big data environmentstrong application engineering experience designing information analytics highly scalable available systemsprior hadoop java mapreduce experience required familiarity distributed computing platforms strong conceptual creative problem solving skills ability work considerable ambiguity ability learn new complex concepts quicklydemonstrated initiative ability work independentlyability build strong collaborative working relationships broad cross section business partnersstrong oral written presentation skills good hands bi development experience involvement bi related projectsprevious experience working sales marketing customer relationship management system data plusexperience business apps like campaign management erp experience automotive marketing crm applications experience working offshore teamsexperience column oriented database solutions education bs ms degree computer science related discipline
1421,Informatica/ Etl Tester,"US, VA, Herndon",IT,75000-80000, ,"Position: Informatica Tester  Location: Herndon, VA        Duration : Long term Job Description :Good in InformaticaGood knowledge in ETL Testing and UnixGood in SQL and data warehouse conceptsShould have 6+ Years of experienceGood communication skills", , ,0,0,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,1,informatica etl tester position informatica tester location herndon va duration long term job description good informaticagood knowledge etl testing unixgood sql data warehouse conceptsshould + years experiencegood communication skills
1844,Customer Service Representative,"US, TX, Houston",Administrative,21-63000, ,"Experienced, reliable team members are needed for our Customer Service Representative needed! We are currently searching for candidates with previous experience and/or motivated quick learners. These positions require a friendly phone personality, great attention to detail and the ability to work quickly and efficiently. This is a customer contact position that requires patience, a great phone demeanor, excellent verbal and written communications, and reliable work attendance.Key Aspects of Position:Provide extraordinary service to our customers at all times.Work as part of a Customer Service team.Other duties as assigned.","6 months to a year experience working in a fast pace, back to back call handling in a call center environment.High comfort level with computer-based work. Google applications knowledge and Netsuite or similar CRM/Ticketing software a plus.Must be able to multitask between various web applications.Passionate about providing stellar service to customers.The ability to be as friendly and helpful at the end of an 8-hour shift as in the beginning of the shift.Ability to work at a fast pace while maintaining accuracy.Great attention to detail, and a high sense of urgency.Excellent written and verbal communication skills.Ability to work various shifts during a 24 hour period, as schedules may vary from week to week. : Solid record of good attendance at prior employer's references.All applications must be received online. No walk-ins or phone calls accepted. Due to the volume of applicants, we are unable to accept phone or email inquiries on application status. Applicants must follow these requirements in order to be considered.","Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k #URL_c801649eeb4007728c8f41b2d6629d92c2295ff77e1f2d401d7696ce3569db63# Time Off and Holidays with Generous Company Discounts",0,0,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Administrative,1,customer service representative administrative experienced reliable team members needed customer service representative needed! currently searching candidates previous experience motivated quick learners positions require friendly phone personality great attention detail ability work quickly efficiently customer contact position requires patience great phone demeanor excellent verbal written communications reliable work attendance key aspects position provide extraordinary service customers times work customer service team duties assigned months year experience working fast pace handling center environment high comfort level computer based work google applications knowledge netsuite similar crm ticketing software plus able multitask web applications passionate providing stellar service customers ability friendly helpful end hour shift beginning shift ability work fast pace maintaining accuracy great attention detail high sense urgency excellent written verbal communication skills ability work shifts hour period schedules vary week week solid record good attendance prior employer's references applications received online walk ins phone calls accepted volume applicants unable accept phone email inquiries application status applicants follow requirements order considered health dental life ad&amp d insurance employee wellness k #url_ceebcfbddcffefddcedb# time holidays generous company discounts
1961,Mobile Developer-Back End,"US, WA, Seattle",Information Technology, ,"Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            ","Managing over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than   3 million daily weather measurements, we are one of the largest users of Amazon Web Services.Today we are focused on helping farmers protect and increase their profits in the face of increasingly extreme weather.  At the heart of the company is our unique technology platform, which encompasses our core competencies across weather monitoring, agronomic modeling, and weather simulation, and accounts for over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than 3 million daily weather measurements.  This platform powers the company’s portfolio of technology-based products and services, which are revolutionizing agricultural risk management and farm management. We are leaving a mark on the world in our DNA; we want to make a lasting and meaningful real-world impact.  We relish big problems because they are the most interesting to tackle, the most rewarding, and typically the most valuable to solve.  We also thrive on finding the possible in the impossible.If you are the best at what you do, you like solving interesting problems, and you are looking for like-minded people dedicated to having a major impact on the world, we are eager to talk with you.Mobile Developer - Back EndWe are looking for experienced Ruby developers to join our engineering team, focusing on building back end support for the development of mobile applications for growers.What You Will Do:Write highly scalable and robust RESTful APIs to empower our mobile applications.Work closely with the iOS and Android team to ensure seamless integration with the back end.Opportunity to learn new technologies and frameworks.  ","What You Offer:Experience in writing clean and idiomatic Ruby code.Familiarity with the OOP and design patterns.A passion for clean and testable codeDetail orientation and strong collaboration skillsFamiliarity with CS fundamentals - a BS or MS in CS or equivalentWillingness to rapidly iterate and build out our application suite Bonus Points:Past experience with Test Driven or Behavior Driven Development.Some significant open source contribution.Past experience with JRuby, EventMachine, Ruby Fibres, Sinatra. ","What We Offer:Our team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible product and experience for our customers.Competitive salary, excellent benefits, and some of the best perks in the industry, including:We provide meals and a large assortment of snacks, drinks, fruits, coffees, and teas to help you get through the day.We let you explore personally compelling topics by occasionally taking time to work on independent projects and contributing the results back to the open source community. Company sponsored outings, including go-kart races, kayaking, holiday yacht parties, and sporting events, etc.We sponsor hackathons, meetup groups, networking events, tech-talks, and conference trips. If you want to get involved in the tech community, we'll support your efforts. We encourage all employees to better understand our customers by getting out of the office and hearing firsthand from the agents and farmers our products serve.Energetic idea-driven work environment with an exciting culture.Exciting world-changing opportunity - we are solving problems that have a massive impact on the world!A driven, talented team that aims to make a large-scale impact through an innovative technology platform. ",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,1,mobile developer end information technology aptitude staffing solutions redesigned recruiting wheel innovative new platform cuts recruiting time half yields scientifically proven results clients candidates enjoy pleasant experience advanced simple use technology tenured industry experienced recruiting team join fresh new experience leveraging career way be! represented candidates enjoy following perks expert negotiations maximizing total compensation package signing bonus aptitude staffing addition client signing bonus applicable year access anyperkrelocation services town candidatescontinued education area profession seminars workshops skill development events contract employees receive quarterly bonuses duration project direct hire employees receive double bonues $ referred recruited candidate newly appointed companyall candidates encouraged participate referral bonus program &amp earn $ $ hired referral managing tb data including trillion+ weather simulation data points billion soil type observations million daily weather measurements largest users amazon web services today focused helping farmers protect increase profits face increasingly extreme weather heart company unique technology platform encompasses core competencies weather monitoring agronomic modeling weather simulation accounts tb data including trillion+ weather simulation data points billion soil type observations million daily weather measurements platform powers company’s portfolio technology based products services revolutionizing agricultural risk management farm management leaving mark world dna want lasting meaningful real world impact relish big problems interesting tackle rewarding typically valuable solve thrive finding possible impossible best like solving interesting problems looking like minded people dedicated having major impact world eager talk mobile developer endwe looking experienced ruby developers join engineering team focusing building end support development mobile applications growers write highly scalable robust restful apis empower mobile applications work closely ios android team ensure seamless integration end opportunity learn new technologies frameworks offer experience writing clean idiomatic ruby code familiarity oop design patterns passion clean testable codedetail orientation strong collaboration skillsfamiliarity cs fundamentals bs ms cs equivalentwillingness rapidly iterate build application suite bonus points past experience test driven behavior driven development significant open source contribution past experience jruby eventmachine ruby fibres sinatra offer team composed brilliant interdisciplinary minds industry environment extremely engaging fast paced dozens specialties coming provide best possible product experience customers competitive salary excellent benefits best perks industry including provide meals large assortment snacks drinks fruits coffees teas help day let explore personally compelling topics occasionally taking time work independent projects contributing results open source community company sponsored outings including kart races kayaking holiday yacht parties sporting events etc sponsor hackathons meetup groups networking events tech talks conference trips want involved tech community we'll support efforts encourage employees better understand customers getting office hearing firsthand agents farmers products serve energetic idea driven work environment exciting culture exciting world changing opportunity solving problems massive impact world!a driven talented team aims large scale impact innovative technology platform
1996,Customer service/ Data Entry ,"US, AL,  ALEXANDER CITY", , , ,"Customer Service SpecialistWe are currently looking for talented and creative individuals to continue growing the company. If you're looking to work in an organization where you can make a long-term home, and flex both your technical and creative skills, this may be the role for you! We pride ourselves on a work hard/play hard mentality and friendly, team-based culture.We're searching for a full-time Customer Support Specialist with strong customer service background, excellent communication skills and outgoing personality.Primary ResponsibilitiesRespond to incoming calls and e-mail / mail requestsContact current customersVerify payment requests over the telephoneDuring low volume intervals perform customer follow-ups, research escalated issues, and complete special projects","Skills/RequirementsSome customer support experience preferred, but will train the right candidateMinimum high school diploma or equivalentAbility to multi-taskPositive attitude and friendly telephone demeanorProfessional written and communication skillsBasic knowledge of computers","Benefits &amp; CompensationExcellent health insurance including medical, dental and vision401K with matching planPaid holidays, vacation and sick daysCompensation:Hourly., DOE ",1,0,0,Full-time,Entry level,Unspecified,Telecommunications, ,1,customer service data entry customer service specialistwe currently looking talented creative individuals continue growing company you're looking work organization long term home flex technical creative skills role you! pride work hard play hard mentality friendly team based culture we're searching time customer support specialist strong customer service background excellent communication skills outgoing personality primary responsibilitiesrespond incoming calls e mail mail requestscontact current customersverify payment requests telephoneduring low volume intervals perform customer follow ups research escalated issues complete special projects skills requirementssome customer support experience preferred train right candidateminimum high school diploma equivalentability multi taskpositive attitude friendly telephone demeanorprofessional written communication skillsbasic knowledge computers benefits &amp compensationexcellent health insurance including medical dental visionk matching planpaid holidays vacation sick dayscompensation hourly doe
2192,Customer Service Representative,"US, TX, SAN ANTONIO", , , ,"SUMMARYResponsible for acting as a liaison between customers and companies. Assists with complaints, orders, errors, account questions, billing, cancelations, and other #URL_c81b3832d5b6414e2bb4b445194f7a4b920877a0d0d13c5215a92971f7a10267# RESPONSIBILITIESResolve customer complaints via phone, email, mail, or social media.Use telephones to reach out to customers and verify account information.Greet customers warmly and ascertain problem or reason for calling.Cancel or upgrade accounts.Assist with placement of orders, refunds, or exchanges.Advise on company information.Take payment information and other pertinent information such as addresses and phone numbers.Place or cancel orders.Answer questions about warranties or terms of sale.Act as the company gatekeeper.Suggest solutions when a product malfunctions.Handle product recalls.",Degree preferred but not required.Recent college grads with an interest in the Logistics industry please apply.Experience with air freight and same day deliveries and Dispatch is a plus. -Strong coordination skills are a must.,"You would be eligible to Benefits after 2months of working with the company, Benefits offered are Health Insurance / Vacations / Bonuses which will be explain more better in your offer letter Ok",1,0,0,Full-time,Internship,Unspecified,Telecommunications,Administrative,1,customer service representative summaryresponsible acting liaison customers companies assists complaints orders errors account questions billing cancelations #url_cbdbebbbfabaddcafa# responsibilitiesresolve customer complaints phone email mail social media use telephones reach customers verify account information greet customers warmly ascertain problem reason calling cancel upgrade accounts assist placement orders refunds exchanges advise company information payment information pertinent information addresses phone numbers place cancel orders answer questions warranties terms sale act company gatekeeper suggest solutions product malfunctions handle product recalls degree preferred required recent college grads interest logistics industry apply experience air freight day deliveries dispatch plus strong coordination skills eligible benefits months working company benefits offered health insurance vacations bonuses explain better offer letter ok
