Contact info,Objectives,Refrees,Skills,Education,Experience,Job level,Score,Good or bad,Final,Job_Lev
Found,Found,Found,Found,Found,0,Intern,,Good,1,0
Found,Found,Found,Found,Not Found,0,Intern,,Good,1,0
Found,Found,Found,Not Found,Found,0,Intern,,Good,1,0
Found,Found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Found,Not found,Found,Found,0,Intern,,Good,1,0
Found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Found,Not found,Found,Not Found,Found,0,Intern,,Good,1,0
Found,Not found,Found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Not found,Found,Found,Found,0,Intern,,Good,1,0
Found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Not found,Not Found,Found,0,Intern,,Good,1,0
Not found,Found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Found,Found,Found,0,Intern,,Good,1,0
Not found,Found,Found,Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Found,Not Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Not found,Not found,Found,Not Found,Found,0,Intern,,Good,1,0
Not found,Not found,Found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Found,Found,Found,Found,0,Intern,,Good,1,0
Found,Found,Not found,Found,Not Found,0,Intern,,Good,1,0
Found,Found,Not found,Not Found,Found,0,Intern,,Good,1,0
Found,Found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Found,Found,Found,Found,0,Intern,,Good,1,0
Found,Not found,Found,Found,Not Found,0,Intern,,Good,1,0
Found,Not found,Found,Not Found,Found,0,Intern,,Good,1,0
Found,Not found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Not found,Not found,Found,Found,0,Intern,,Good,1,0
Found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Found,Not Found,Found,0,Intern,,Good,1,0
Not found,Found,Found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Found,Found,Found,0,Intern,,Good,1,0
Not found,Found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Not found,Not Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Not found,Not found,Found,Found,Found,0,Intern,,Good,1,0
Not found,Not found,Found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Not found,Found,Not Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Found,Found,Not found,Found,Found,0,Intern,,Good,1,0
Found,Found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Found,Found,Not Found,Found,0,Intern,,Good,1,0
Found,Found,Found,Found,Not Found,0,Intern,,Good,1,0
Found,Found,Found,Found,Found,0,Intern,,Good,1,0
Found,Not found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Not found,Not found,Not Found,Found,0,Intern,,Good,1,0
Found,Not found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Not found,Found,Found,Found,0,Intern,,Good,1,0
Found,Not found,Found,Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Found,Not Found,Found,0,Intern,,Good,1,0
Not found,Found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Not found,Found,Found,0,Intern,,Good,1,0
Not found,Found,Not found,Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Found,Not Found,Found,0,Intern,,Good,1,0
Not found,Not found,Found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Not found,Found,Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Not Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Found,Found,Found,Found,0,Intern,,Good,1,0
